
Time_us,Sample
2141960,1985
2144460,2071
2146960,1977
2149540,2036
2151960,2058
2154460,2006
2157040,1973
2159552,2075
2162052,2050
2164460,2052
2166968,2023
2169552,1988
2172052,1987
2174460,2025
2176960,1982
2179552,2009
2182056,2090
2184460,2058
2186960,2018
2189552,2075
2191964,2063
2194460,2001
2196952,2027
2199456,2017
2201956,1994
2204364,1969
2206956,2035
2209460,1999
2211956,2012
2214460,2034
2217040,2048
2219460,2035
2221960,2068
2224552,1989
2227060,1991
2229560,2045
2232060,2031
2234652,1996
2237060,1967
2239652,2030
2242160,1970
2244740,2031
2247160,2081
2249660,2023
2252252,2038
2254756,1976
2257256,2021
2259756,1995
2262264,2037
2264764,2060
2267356,2025
2269860,2043
2272360,2019
2274764,2038
2277256,2022
2279764,2007
2282256,2004
2284764,2010
2287256,2018
2289752,2032
2292164,2047
2294656,1988
2297164,2014
2299664,1948
2302160,2052
2304664,2036
2307256,1959
2309756,2021
2312268,1975
2314760,1971
2317260,2036
2319852,2026
2322260,2070
2324756,2021
2327164,2036
2329760,1998
2332260,2020
2334852,2052
2337264,1990
2339764,2014
2342264,2003
2344752,2037
2347256,1996
2349664,2014
2352260,2049
2354764,1972
2357260,1987
2359764,2023
2362340,2004
2364860,1995
2367360,2013
2369860,2015
2372360,2087
2374860,2058
2377364,1985
2379952,2036
2382364,2059
2384960,2015
2387368,2064
2389952,2010
2392464,2037
2394956,1997
2397452,1982
2399860,2011
2402360,2028
2404864,2061
2407356,2091
2409852,2009
2412356,1992
2414856,2060
2417268,2070
2419860,2032
2422364,2069
2424864,2025
2427352,1995
2429860,1992
2432360,2089
2434860,2039
2437452,2077
2439956,2029
2442452,2032
2444960,1962
2447456,2048
2449864,2026
2452452,2025
2454960,2060
2457456,2058
2459964,1998
2462552,1995
2464968,1992
2467456,2033
2469964,2039
2472452,2026
2474956,1997
2477456,1956
2479956,2014
2482468,1998
2485052,1974
2487552,2031
2490056,2030
2492556,2019
2494968,2009
2497456,2051
2499964,1993
2502456,2057
2504960,2004
2507464,2023
2510056,2071
2512464,2026
2515056,1994
2517468,2013
2519956,2004
2522552,2041
2524960,1975
2527552,2075
2529960,2015
2532552,2051
2534960,2073
2537460,1999
2539960,2006
2542464,2046
2544964,2093
2547456,2038
2549956,2004
2552364,1986
2554856,2039
2557452,2007
2559956,2050
2562456,2000
2564956,2042
2567464,2042
2569964,2001
2572556,2019
2574964,1988
2577460,2004
2579964,2022
2582452,2026
2584960,2043
2587464,2009
2589960,2015
2592464,2097
2594964,2039
2597452,1976
2599964,2083
2602456,2030
2604956,2043
2607464,2015
2609964,2002
2612460,2010
2614952,2004
2617440,2043
2619956,2032
2622364,2075
2624960,2045
2627460,2048
2629956,2078
2632456,2057
2634956,2064
2637460,2026
2639964,2027
2642456,1977
2644956,2023
2647464,1982
2649956,2042
2652452,2029
2654956,1994
2657456,1993
2659864,2029
2662456,1990
2664868,2004
2667356,2002
2669852,2041
2672356,2066
2674856,2028
2677264,2024
2679764,2047
2682356,2032
2684764,1984
2687264,2049
2689764,2039
2692356,1985
2694764,2027
2697356,1993
2699860,2046
2702452,2043
2704860,1996
2707360,2001
2709940,2021
2712452,2028
2714952,2058
2717456,2051
2719956,2074
2722368,2041
2724960,2015
2727460,2029
2729952,2052
2732460,2054
2734952,2007
2737452,2013
2739860,2077
2742364,2005
2744952,2072
2747360,2064
2749956,2045
2752364,2029
2754860,1980
